,culture_plate,culture_well,dilutant_plate,dilutant_well,destination,destination_well,culture_volume,dilutant_volume,row,column,platerowcol
A1,CELL PLATE,A1,MEDIA,4,Intermediate,A1,0.0,192.0,A,1,CELL PLATEIntermediate1
B1,CELL PLATE,B1,MEDIA,4,Intermediate,B1,0.0,192.0,B,1,CELL PLATEIntermediate1
C1,CELL PLATE,C1,MEDIA,4,Intermediate,C1,39.49533715730226,152.50466284269777,C,1,CELL PLATEIntermediate1
D1,CELL PLATE,D1,MEDIA,4,Intermediate,D1,59.19835462391581,132.8016453760842,D,1,CELL PLATEIntermediate1
E1,CELL PLATE,E1,MEDIA,4,Intermediate,E1,37.98720671841812,154.01279328158188,E,1,CELL PLATEIntermediate1
F1,CELL PLATE,F1,MEDIA,4,Intermediate,F1,31.299243337358675,160.7007566626413,F,1,CELL PLATEIntermediate1
G1,CELL PLATE,G1,MEDIA,4,Intermediate,G1,34.71761689816775,157.28238310183224,G,1,CELL PLATEIntermediate1
H1,CELL PLATE,H1,MEDIA,4,Intermediate,H1,93.64331115700475,98.35668884299525,H,1,CELL PLATEIntermediate1
A2,CELL PLATE,A2,MEDIA,4,Intermediate,A2,0.0,192.0,A,2,CELL PLATEIntermediate2
B2,CELL PLATE,B2,MEDIA,4,Intermediate,B2,0.0,192.0,B,2,CELL PLATEIntermediate2
C2,CELL PLATE,C2,MEDIA,4,Intermediate,C2,39.97224202556295,152.02775797443704,C,2,CELL PLATEIntermediate2
D2,CELL PLATE,D2,MEDIA,4,Intermediate,D2,63.82271258442688,128.17728741557312,D,2,CELL PLATEIntermediate2
E2,CELL PLATE,E2,MEDIA,4,Intermediate,E2,37.4829192345472,154.51708076545282,E,2,CELL PLATEIntermediate2
F2,CELL PLATE,F2,MEDIA,4,Intermediate,F2,31.902519604130998,160.097480395869,F,2,CELL PLATEIntermediate2
G2,CELL PLATE,G2,MEDIA,4,Intermediate,G2,40.01389618923483,151.9861038107652,G,2,CELL PLATEIntermediate2
H2,CELL PLATE,H2,MEDIA,4,Intermediate,H2,114.05940449339496,77.94059550660504,H,2,CELL PLATEIntermediate2
A3,CELL PLATE,A3,MEDIA,4,Intermediate,A3,0.0,192.0,A,3,CELL PLATEIntermediate3
B3,CELL PLATE,B3,MEDIA,4,Intermediate,B3,0.0,192.0,B,3,CELL PLATEIntermediate3
C3,CELL PLATE,C3,MEDIA,4,Intermediate,C3,41.67269393725847,150.3273060627415,C,3,CELL PLATEIntermediate3
D3,CELL PLATE,D3,MEDIA,4,Intermediate,D3,61.630644660774266,130.36935533922573,D,3,CELL PLATEIntermediate3
E3,CELL PLATE,E3,MEDIA,4,Intermediate,E3,37.71114279659288,154.28885720340713,E,3,CELL PLATEIntermediate3
F3,CELL PLATE,F3,MEDIA,4,Intermediate,F3,32.83548208910307,159.1645179108969,F,3,CELL PLATEIntermediate3
G3,CELL PLATE,G3,MEDIA,4,Intermediate,G3,37.49755811262999,154.50244188737003,G,3,CELL PLATEIntermediate3
H3,CELL PLATE,H3,MEDIA,4,Intermediate,H3,147.4276962151289,44.57230378487114,H,3,CELL PLATEIntermediate3
A4,CELL PLATE,A4,MEDIA,4,Intermediate,A4,83.5024692395261,108.4975307604739,A,4,CELL PLATEIntermediate4
B4,CELL PLATE,B4,MEDIA,4,Intermediate,B4,79.75630320663996,112.24369679336004,B,4,CELL PLATEIntermediate4
C4,CELL PLATE,C4,MEDIA,4,Intermediate,C4,61.21798509726244,130.78201490273756,C,4,CELL PLATEIntermediate4
D4,CELL PLATE,D4,MEDIA,4,Intermediate,D4,0.0,192.0,D,4,CELL PLATEIntermediate4
E4,CELL PLATE,E4,MEDIA,4,Intermediate,E4,75.1369675446308,116.86303245536918,E,4,CELL PLATEIntermediate4
F4,CELL PLATE,F4,MEDIA,4,Intermediate,F4,54.49385013468792,137.50614986531207,F,4,CELL PLATEIntermediate4
G4,CELL PLATE,G4,MEDIA,4,Intermediate,G4,54.06420271772976,137.93579728227024,G,4,CELL PLATEIntermediate4
H4,CELL PLATE,H4,MEDIA,4,Intermediate,H4,25.278679520926758,166.72132047907326,H,4,CELL PLATEIntermediate4
A5,CELL PLATE,A5,MEDIA,4,Intermediate,A5,88.14077815013263,103.85922184986737,A,5,CELL PLATEIntermediate5
B5,CELL PLATE,B5,MEDIA,4,Intermediate,B5,34.17992106933557,157.8200789306644,B,5,CELL PLATEIntermediate5
C5,CELL PLATE,C5,MEDIA,4,Intermediate,C5,54.72684210256013,137.2731578974399,C,5,CELL PLATEIntermediate5
D5,CELL PLATE,D5,MEDIA,4,Intermediate,D5,0.0,192.0,D,5,CELL PLATEIntermediate5
E5,CELL PLATE,E5,MEDIA,4,Intermediate,E5,72.49842763254487,119.50157236745513,E,5,CELL PLATEIntermediate5
F5,CELL PLATE,F5,MEDIA,4,Intermediate,F5,57.87781151405514,134.12218848594486,F,5,CELL PLATEIntermediate5
G5,CELL PLATE,G5,MEDIA,4,Intermediate,G5,58.87162605929611,133.12837394070385,G,5,CELL PLATEIntermediate5
H5,CELL PLATE,H5,MEDIA,4,Intermediate,H5,25.159430007682804,166.84056999231717,H,5,CELL PLATEIntermediate5
A6,CELL PLATE,A6,MEDIA,4,Intermediate,A6,88.34355339206604,103.65644660793397,A,6,CELL PLATEIntermediate6
B6,CELL PLATE,B6,MEDIA,4,Intermediate,B6,25.169324150105325,166.83067584989465,B,6,CELL PLATEIntermediate6
C6,CELL PLATE,C6,MEDIA,4,Intermediate,C6,60.984646324320856,131.01535367567914,C,6,CELL PLATEIntermediate6
D6,CELL PLATE,D6,MEDIA,4,Intermediate,D6,0.0,192.0,D,6,CELL PLATEIntermediate6
E6,CELL PLATE,E6,MEDIA,4,Intermediate,E6,82.21524821800338,109.78475178199662,E,6,CELL PLATEIntermediate6
F6,CELL PLATE,F6,MEDIA,4,Intermediate,F6,55.534128747918224,136.46587125208177,F,6,CELL PLATEIntermediate6
G6,CELL PLATE,G6,MEDIA,4,Intermediate,G6,50.60177466965506,141.39822533034493,G,6,CELL PLATEIntermediate6
H6,CELL PLATE,H6,MEDIA,4,Intermediate,H6,24.969654243734144,167.03034575626583,H,6,CELL PLATEIntermediate6
A7,CELL PLATE,A7,MEDIA,4,Intermediate,A7,45.06689477027582,146.93310522972416,A,7,CELL PLATEIntermediate7
B7,CELL PLATE,B7,MEDIA,4,Intermediate,B7,34.70506775127466,157.29493224872533,B,7,CELL PLATEIntermediate7
C7,CELL PLATE,C7,MEDIA,4,Intermediate,C7,38.97421953108898,153.02578046891102,C,7,CELL PLATEIntermediate7
D7,CELL PLATE,D7,MEDIA,4,Intermediate,D7,78.0699409781804,113.9300590218196,D,7,CELL PLATEIntermediate7
E7,CELL PLATE,E7,MEDIA,4,Intermediate,E7,38.20642216694684,153.79357783305318,E,7,CELL PLATEIntermediate7
F7,CELL PLATE,F7,MEDIA,4,Intermediate,F7,56.5315518005365,135.46844819946347,F,7,CELL PLATEIntermediate7
G7,CELL PLATE,G7,MEDIA,4,Intermediate,G7,34.79311405141142,157.2068859485886,G,7,CELL PLATEIntermediate7
H7,CELL PLATE,H7,MEDIA,4,Intermediate,H7,67.55013555369084,124.44986444630915,H,7,CELL PLATEIntermediate7
A8,CELL PLATE,A8,MEDIA,4,Intermediate,A8,38.53616235913772,153.46383764086227,A,8,CELL PLATEIntermediate8
B8,CELL PLATE,B8,MEDIA,4,Intermediate,B8,35.22073995921257,156.77926004078745,B,8,CELL PLATEIntermediate8
C8,CELL PLATE,C8,MEDIA,4,Intermediate,C8,43.49467586766569,148.5053241323343,C,8,CELL PLATEIntermediate8
D8,CELL PLATE,D8,MEDIA,4,Intermediate,D8,90.63729627929894,101.36270372070105,D,8,CELL PLATEIntermediate8
E8,CELL PLATE,E8,MEDIA,4,Intermediate,E8,39.64211960669272,152.35788039330728,E,8,CELL PLATEIntermediate8
F8,CELL PLATE,F8,MEDIA,4,Intermediate,F8,54.54028783713218,137.4597121628678,F,8,CELL PLATEIntermediate8
G8,CELL PLATE,G8,MEDIA,4,Intermediate,G8,32.014227580573916,159.9857724194261,G,8,CELL PLATEIntermediate8
H8,CELL PLATE,H8,MEDIA,4,Intermediate,H8,71.10233432230953,120.89766567769047,H,8,CELL PLATEIntermediate8
A9,CELL PLATE,A9,MEDIA,4,Intermediate,A9,38.75395308457637,153.24604691542362,A,9,CELL PLATEIntermediate9
B9,CELL PLATE,B9,MEDIA,4,Intermediate,B9,34.48069488330401,157.519305116696,B,9,CELL PLATEIntermediate9
C9,CELL PLATE,C9,MEDIA,4,Intermediate,C9,37.29362278270726,154.70637721729275,C,9,CELL PLATEIntermediate9
D9,CELL PLATE,D9,MEDIA,4,Intermediate,D9,78.77461322590585,113.22538677409415,D,9,CELL PLATEIntermediate9
E9,CELL PLATE,E9,MEDIA,4,Intermediate,E9,36.58304314204502,155.41695685795497,E,9,CELL PLATEIntermediate9
F9,CELL PLATE,F9,MEDIA,4,Intermediate,F9,55.77612093099648,136.22387906900352,F,9,CELL PLATEIntermediate9
G9,CELL PLATE,G9,MEDIA,4,Intermediate,G9,32.31597938636137,159.68402061363867,G,9,CELL PLATEIntermediate9
H9,CELL PLATE,H9,MEDIA,4,Intermediate,H9,65.85868128746772,126.14131871253228,H,9,CELL PLATEIntermediate9
A10,CELL PLATE,A10,MEDIA,4,Intermediate,A10,58.459352436565,133.54064756343502,A,10,CELL PLATEIntermediate10
B10,CELL PLATE,B10,MEDIA,4,Intermediate,B10,44.482200546096095,147.51779945390388,B,10,CELL PLATEIntermediate10
C10,CELL PLATE,C10,MEDIA,4,Intermediate,C10,25.021720434066232,166.97827956593375,C,10,CELL PLATEIntermediate10
D10,CELL PLATE,D10,MEDIA,4,Intermediate,D10,57.03535172080953,134.96464827919044,D,10,CELL PLATEIntermediate10
E10,CELL PLATE,E10,MEDIA,4,Intermediate,E10,40.46932945383183,151.53067054616818,E,10,CELL PLATEIntermediate10
F10,CELL PLATE,F10,MEDIA,4,Intermediate,F10,29.98438220203579,162.01561779796418,F,10,CELL PLATEIntermediate10
G10,CELL PLATE,G10,MEDIA,4,Intermediate,G10,60.753085316593975,131.24691468340603,G,10,CELL PLATEIntermediate10
H10,CELL PLATE,H10,MEDIA,4,Intermediate,H10,0.0,192.0,H,10,CELL PLATEIntermediate10
A11,CELL PLATE,A11,MEDIA,4,Intermediate,A11,55.13544437985698,136.86455562014302,A,11,CELL PLATEIntermediate11
B11,CELL PLATE,B11,MEDIA,4,Intermediate,B11,44.43072999926278,147.56927000073722,B,11,CELL PLATEIntermediate11
C11,CELL PLATE,C11,MEDIA,4,Intermediate,C11,26.117710528521,165.882289471479,C,11,CELL PLATEIntermediate11
D11,CELL PLATE,D11,MEDIA,4,Intermediate,D11,65.18786614293651,126.81213385706349,D,11,CELL PLATEIntermediate11
E11,CELL PLATE,E11,MEDIA,4,Intermediate,E11,40.70096124467446,151.29903875532554,E,11,CELL PLATEIntermediate11
F11,CELL PLATE,F11,MEDIA,4,Intermediate,F11,29.43731668655313,162.56268331344688,F,11,CELL PLATEIntermediate11
G11,CELL PLATE,G11,MEDIA,4,Intermediate,G11,58.21121881941848,133.7887811805815,G,11,CELL PLATEIntermediate11
H11,CELL PLATE,H11,MEDIA,4,Intermediate,H11,0.0,192.0,H,11,CELL PLATEIntermediate11
A12,CELL PLATE,A12,MEDIA,4,Intermediate,A12,55.74373320354387,136.25626679645615,A,12,CELL PLATEIntermediate12
B12,CELL PLATE,B12,MEDIA,4,Intermediate,B12,40.917809236825676,151.0821907631743,B,12,CELL PLATEIntermediate12
C12,CELL PLATE,C12,MEDIA,4,Intermediate,C12,25.6638736140438,166.33612638595616,C,12,CELL PLATEIntermediate12
D12,CELL PLATE,D12,MEDIA,4,Intermediate,D12,75.99947263769837,116.00052736230164,D,12,CELL PLATEIntermediate12
E12,CELL PLATE,E12,MEDIA,4,Intermediate,E12,41.30512865313847,150.69487134686153,E,12,CELL PLATEIntermediate12
F12,CELL PLATE,F12,MEDIA,4,Intermediate,F12,30.43593163610943,161.56406836389056,F,12,CELL PLATEIntermediate12
G12,CELL PLATE,G12,MEDIA,4,Intermediate,G12,59.38144542443949,132.6185545755605,G,12,CELL PLATEIntermediate12
H12,CELL PLATE,H12,MEDIA,4,Intermediate,H12,0.0,192.0,H,12,CELL PLATEIntermediate12
